compound,mw,fill,amt,vol_add
nad,663.43,0.3,0.03483,76.6
coa,767.53,0.6,0.03,160
camp,329.22,0.2,0.0428,46
5fthf,511.5,1.15,0.02,80
spmd,145.25,0.15,0.00342064,34
glc__D,3000,10,2.4,2000
atp,619.4,0.375,0.145,99
gtp,567.14,0.375,0.133,99
ctp,563.16,0.375,0.0794,99
utp,586.12,0.375,0.0826,99
trna,26000,0.6,0.03,160
