AA,weight_add,vol_add
Ala,0.44545,136
Arg,0.6446502,222
Asn,0.6606,136
Asp,0.6655,136
Cys,0.3707496,222
Glu,0.73565,136
Gln,0.447219,222
Gly,0.37535,136
His,0.77575,136
Ile,0.6559,136
Leu,0.4014108,222
Lys,0.4473414,222
Met,0.4565826,222
Phe,0.33038,340
Pro,0.57565,136
Ser,0.5295,136
Thr,0.5956,136
Trp,0.40846,340
Tyr,0.5544414,222
Val,0.358479,222
