compound,final_conc
pi,0.01
mg2,0.012
k,0.13
nad,0.00033
coa,0.00027
ptrc,0.001
5fthf,3.40E-04
spmd,0.0015
glc__D,0.2
atp,0.0012
gtp,0.00085
ctp,0.00085
utp,0.00085
trna,1.70E-04
pep,0.00033
nh4,0.01
ala,2.00E-03
arg,2.00E-03
asn,2.00E-03
asp,2.00E-03
cys,2.00E-03
glu,2.00E-03
gln,2.00E-03
gly,2.00E-03
his,2.00E-03
ile,2.00E-03
leu,2.00E-03
lys,2.00E-03
met,2.00E-03
phe,2.00E-03
pro,2.00E-03
ser,2.00E-03
thr,2.00E-03
trp,2.00E-03
tyr,2.00E-03
val,2.00E-03
GENE,1.33E-02
